field_id,month,ndvi,cloud_cover
F001,2024-01,0.25,5.0
F001,2024-02,0.38,12.0
F001,2024-03,0.55,18.0
F001,2024-04,0.72,2.0
F001,2024-05,0.81,8.0
F001,2024-06,0.78,25.0
F001,2024-07,0.7,4.0
F001,2024-08,0.62,10.0
F001,2024-09,0.55,15.0
F001,2024-10,0.48,6.0
F002,2024-01,0.2,8.0
F002,2024-02,0.32,6.0
F002,2024-03,0.48,14.0
F002,2024-04,0.65,9.0
F002,2024-05,0.76,5.0
F002,2024-06,0.82,11.0
F002,2024-07,0.75,7.0
F002,2024-08,0.68,22.0
F002,2024-09,0.6,12.0
F002,2024-10,0.52,8.0
F003,2024-01,0.22,10.0
F003,2024-02,0.35,15.0
F003,2024-03,0.5,8.0
F003,2024-04,0.68,6.0
F003,2024-05,0.75,12.0
F003,2024-06,0.79,9.0
F003,2024-07,0.72,18.0
F003,2024-08,0.65,14.0
F003,2024-09,0.57,7.0
F003,2024-10,0.5,5.0
F004,2024-01,0.21,6.0
F004,2024-02,0.34,8.0
F004,2024-03,0.52,10.0
F004,2024-04,0.68,5.0
F004,2024-05,0.68,7.0
F004,2024-06,0.4,12.0
F004,2024-07,0.35,9.0
F004,2024-08,0.28,6.0
F004,2024-09,0.22,11.0
F004,2024-10,0.18,14.0
F005,2024-01,0.35,4.0
F005,2024-02,0.48,9.0
F005,2024-03,0.62,11.0
F005,2024-04,0.78,16.0
F005,2024-05,0.85,8.0
F005,2024-06,0.82,5.0
F005,2024-07,0.76,10.0
F005,2024-08,0.7,7.0
F005,2024-09,0.64,9.0
F005,2024-10,0.58,12.0
